Comp Name:Grand National Dancesport Championships
Dancers
Shchypilina, Anastasiia:502
Shepard, Erik:240
Shlugman, Leah:566
Shlugman, Leah:569
Shnol, Zachary:491
Shooks, Laura:226
Shor, Mark:602
Shtefil, Shandor:387
Shvets-Nikishkin, Olena:299
Sigvaldadottir, Asta:368
Simcox, Kathy:531
Sinitsa, Max:183
Skaskiv, Anton:114
Skaskiv, Polina:115
Skriptsov, Aleksandr:154
Skriptsova, Aida:155
Skrypnyk, Oleg:53
Smart, Dawn:625
Smith, Joseph B.:389
Sokolova, Ksenia:258
Stacker, Tillie:254
Stadler, Julie:557
Stahlman, Kimberly:75
Stancil, Travis:538
Stetler, Kathy:83
Stockton, Diane:147
Stolbunova, Anastasia:573
Struk, Paulina:364
Studenny, Kamil:261
Suazo, Frances:151
Sun, Kevin:354
Sutton, Debra:264
Suzuki, Hayato:333
Suzuki, Yuki:102
Sweeney, Tom:280
Sykorova, Zuzana:111
Tagiev, Rustam:112
Takatsuji, Natsumi:334
Tallerino, Toni:245
Tanner, Leslie:126
Tapia-Ojeda, Angeline:596
Tarnavskyy, Artur:300
Taylor, Sherry:396
Thomas, Mary:205
Tikhomirov, Igor:620
Todor, Barbara:384
Tran, Thao:550
Tregubov, Anton:414
Trifaila, Alina:243
Trigili, Tania:242
Tsykunova, Marianna:603
Tulikallio, Tiina:91
Turiashvili, Kakha:467
Ubillus, Kevin:345
Uribe, Juan:238
Urymahava, Valeria:198
Usoltseva, Anastasia:119
Vaganay, Michael:94
Vainomaa, Jaak:90
Valerio, Antonio:337
Vanderburg, Lynn:76
Varga, Tibor:628
Vasic, Sinisa:549
Vasicek, Tomas:445
Vasilchenko, Valeria:555
Vasilyev, Sergey:397
Vieberink, Ralph:370
Villegas, Jovannie Alexander:393
Violletta, Nicolay:124
Visda, Mia:604
Voilokova, Tatiana:267
Volkov, Denys:554
Voronov, Valentin:156
Voskalchuk, Alexander:223
Voskalchuk, Veronika:224
Walford, Joanne:375
Wang, Xi Yue:357
Welch, Janie:289
Whitney, Brijet:220
Wiatrowski, Radoslaw:624
Williams, Alan:365
Wladyka, Haru:269
Wlodarski, Tomasz:530
Wong, Jane:283
Wood, Gillian:610
Wooninck, Samantha:194
Yang, Soler:185
You, Ann:164
Yun, Sumi:327
Zagoruychenko, Yulia:58
Zaludova, Helena:581
Zaprawa, Marcin:510
Zavialov, Dmitrii:378
Zedeck, Randi:246
Zeng, Helen:524
Zhang, Tina:636
Ziecik, Carol:392
Zirn, Udo:279
Zmajkovicova, Laura:500
Zvychaynyy, Pavel:98
Zybura, Magdalena:351
Heats
Dancer:Alekseev, Aleksei:203:Heats:17
["Heat", "585", "2@Friday 5:13 PM", "Latin Single Dances B1 Open Silver Int'l Cha Cha", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "586", "2@Friday 5:15 PM", "Latin Single Dances B1 Open Silver Int'l Samba", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "587", "2@Friday 5:16 PM", "Latin Single Dances B1 Open Silver Int'l Rumba", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
