Manhattan Dance Championships,Pro/Am Closed Gold Scholarships A Int'l Latin (CC,S,R,J),Latin,25
Manhattan Dance Championships,Pro/Am Closed Gold Scholarships B Amer. Rhythm (CC,R,SW,M),Rhythm,25
Manhattan Dance Championships,Pro/Am Closed Gold Scholarships B Amer. Smooth (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am Closed Gold Scholarships B Int'l Ballroom (W,T,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am Closed Gold Scholarships B Int'l Latin (CC,S,R,J),Latin,25
Manhattan Dance Championships,Pro/Am Closed Gold Scholarships S1 Amer. Rhythm (CC,R,SW,M),Rhythm,25
Manhattan Dance Championships,Pro/Am Closed Gold Scholarships S1 Amer. Smooth (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am Closed Gold Scholarships S1 Int'l Ballroom (W,T,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am Closed Gold Scholarships S1 Int'l Latin (CC,S,R,J),Latin,25
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships A Amer. Rhythm (CC,R,SW,M),Rhythm,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships A Amer. Smooth (W,T,F,VW),Smooth,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships A Int'l Latin (CC,S,R,J),Latin,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships B Amer. Rhythm (CC,R,SW,M),Rhythm,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships B Amer. Smooth (W,T,F,VW),Smooth,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships B Int'l Ballroom (W,T,F,Q),Standard,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships B Int'l Latin (CC,S,R,J),Latin,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships S1 Amer. Rhythm (CC,R,SW,M),Rhythm,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships S1 Amer. Smooth (W,T,F,VW),Smooth,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships S1 Int'l Ballroom (W,T,F,Q),Standard,20
Manhattan Dance Championships,Pro/Am Closed Silver Scholarships S1 Int'l Latin (CC,S,R,J),Latin,20
Manhattan Dance Championships,Pro/Am Junior & Youth Gold Championships  Closed PT Int'l Latin Championship (CC,S,R,J),Latin,20
Manhattan Dance Championships,Pro/Am Junior & Youth Gold Championships  Open YH Int'l Ballroom Championship (W,T,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am Junior & Youth Gold Championships  Open YH Int'l Latin Championship (CC,S,R,J),Latin,25
Manhattan Dance Championships,Pro/Am Night Club 2-Dance  A Nightclub Championship (H,WCS),Nightclub,20
Manhattan Dance Championships,Pro/Am Night Club 2-Dance  B Nightclub Championship (H,WCS),Nightclub,20
Manhattan Dance Championships,Pro/Am Night Club 3-Dance  A Nightclub Championship (SA,ME,BA),Nightclub,20
Manhattan Dance Championships,Pro/Am Night Club 3-Dance  B Nightclub Championship (SA,ME,BA),Nightclub,20
Manhattan Dance Championships,Pro/Am Night Club 4-Dance  A Nightclub Championship (H,SA,ME,BA),Nightclub,20
Manhattan Dance Championships,Pro/Am Night Club 4-Dance  B Nightclub Championship (H,SA,ME,BA),Nightclub,20
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series A Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series A Amer. Smooth (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series A Int'l Ballroom (W,T,VW,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series A Int'l Latin (CC,S,R,PD,J),Latin,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series B Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series B Amer. Smooth (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series B Int'l Ballroom (W,T,VW,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series B Int'l Latin (CC,S,R,PD,J),Latin,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series C Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series C Amer. Smooth (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series C Int'l Ballroom (W,T,VW,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series C Int'l Latin (CC,S,R,PD,J),Latin,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series S1 Amer. Rhythm (CC,R,SW,B,M),Rhythm,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series S1 Amer. Smooth (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series S1 Int'l Ballroom (W,T,VW,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am Open Gold DanceSport Series S1 Int'l Latin (CC,S,R,PD,J),Latin,25
Manhattan Dance Championships,Pro/Am Open Gold Gentleman's Championships  Men Amer. Smooth Championship (W,T,F,VW),Smooth,25
Manhattan Dance Championships,Pro/Am Open Gold Gentleman's Championships  Men Int'l Ballroom Championship (W,T,VW,F,Q),Standard,25
Manhattan Dance Championships,Pro/Am Open Gold Scholarships A Amer. Rhythm (CC,R,SW,B,M),Rhythm,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships A Amer. Smooth (W,T,F,VW),Smooth,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships A Int'l Ballroom (W,T,VW,F,Q),Standard,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships A Int'l Latin (CC,S,R,PD,J),Latin,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships B Amer. Rhythm (CC,R,SW,B,M),Rhythm,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships B Amer. Smooth (W,T,F,VW),Smooth,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships B Int'l Ballroom (W,T,VW,F,Q),Standard,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships B Int'l Latin (CC,S,R,PD,J),Latin,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships S1 Amer. Rhythm (CC,R,SW,B,M),Rhythm,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships S1 Amer. Smooth (W,T,F,VW),Smooth,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships S1 Int'l Ballroom (W,T,VW,F,Q),Standard,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships S1 Int'l Latin (CC,S,R,PD,J),Latin,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships S2 Amer. Rhythm (CC,R,SW,B,M),Rhythm,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships S2 Amer. Smooth (W,T,F,VW),Smooth,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships S2 Int'l Ballroom (W,T,VW,F,Q),Standard,30
Manhattan Dance Championships,Pro/Am Open Gold Scholarships S2 Int'l Latin (CC,S,R,PD,J),Latin,30
Manhattan Dance Championships,Youth Mixed Am Events  mJ1 AM/AM Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Youth Mixed Am Events  mJ2 AM/AM Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Youth Mixed Am Events  mYH AM/AM Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Manhattan Dance Championships,Youth Mixed Am PreChampionship Events mYH AM/AM Int'l Latin (CC,S,R,J),Latin,15
