Comp Name:The Snow Ball 2020
Dancers
Walker, Christian:267
Wallock, Douglas:100
Wedin, Matt:165
Welch, Benjamin:173
Wilcox, Allie:121
Williams, Marty:278
Wills, Woodrow:390
Wilson, Chris:22
Wilson, Randy:77
Witte, Michael:310
Wittig, Larry:36
Wojceichowski, Oskar:363
Wood, Tricia:264
Woods, Dennis:360
Woomer, Michelle:98
Wright, Leigh:167
Wudstrack, Heather:277
Yablokova, Margarita:295
Yarmolich, Veronica:313
Yarmolich, Violetta:314
Yelkin, Dennis:405
Yunkind, Roman:323
Zavodchikov, Natalia:271
Zimmerman, Jon:231
Zwirlein, Judy:246
Heats
Dancer:Abrams, John:342:Heats:71
["Heat", "421", "Session 3: Saturday Daytime@01:56PM Saturday", "AP-C1 Cl. Int. Silver American Cha Cha", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "422", "Session 3: Saturday Daytime@01:57PM Saturday", "AP-C1 Cl. Int. Silver American Rumba", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "423", "Session 3: Saturday Daytime@01:59PM Saturday", "AP-C1 Cl. Int. Silver American Swing", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "424", "Session 3: Saturday Daytime@02:00PM Saturday", "AP-C1 Cl. Int. Silver American Bolero", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "425", "Session 3: Saturday Daytime@02:01PM Saturday", "AP-C1 Cl. Int. Silver American Mambo", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "431", "Session 3: Saturday Daytime@02:10PM Saturday", "AP-C1 Cl. Full Silver American Cha Cha", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "432", "Session 3: Saturday Daytime@02:11PM Saturday", "AP-C1 Cl. Full Silver American Rumba", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "433", "Session 3: Saturday Daytime@02:12PM Saturday", "AP-C1 Cl. Full Silver American Swing", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "434", "Session 3: Saturday Daytime@02:14PM Saturday", "AP-C1 Cl. Full Silver American Bolero", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "435", "Session 3: Saturday Daytime@02:15PM Saturday", "AP-C1 Cl. Full Silver American Mambo", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "441", "Session 3: Saturday Daytime@02:23PM Saturday", "AP-A2 Cl. Int. Silver American Cha Cha", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "442", "Session 3: Saturday Daytime@02:25PM Saturday", "AP-A2 Cl. Int. Silver American Rumba", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "443", "Session 3: Saturday Daytime@02:26PM Saturday", "AP-A2 Cl. Int. Silver American Swing", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "444", "Session 3: Saturday Daytime@02:28PM Saturday", "AP-A2 Cl. Int. Silver American Bolero", "101", "Abrams, John and Freeman, Mica", "---"]
