The Royal Ball,Amateur Open A Amer. Smooth (W,T,F,VW),Smooth,20
The Royal Ball,Partnerless Closed Multi-Dance Gold PT Ladies Int'l Latin (CC,S,R),Latin,20
The Royal Ball,Partnerless Closed Multi-Dance Silver JR Ladies Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Partnerless Closed Multi-Dance Silver PT Ladies Int'l Latin (CC,S,R),Latin,15
The Royal Ball,Senior Open Multi-Dance S1 Amer. Rhythm (CC,R,SW),Rhythm,20
The Royal Ball,Senior Open Multi-Dance S1 Amer. Smooth (W,T,F),Smooth,20
The Royal Ball,Senior Open Multi-Dance S1 Amer. Smooth (W,T,F) /J,Smooth,20
The Royal Ball,Senior Open Multi-Dance S1 Int'l Latin (CC,S,R),Latin,20
The Royal Ball,Senior Open Multi-Dance S2 Amer. Rhythm (CC,R,SW),Rhythm,20
The Royal Ball,Senior Open Multi-Dance S2 Amer. Smooth (W,T,F),Smooth,20
The Royal Ball,Senior Open Multi-Dance S2 Int'l Ballroom (W,T,Q),Standard,20
The Royal Ball,Senior Open Multi-Dance S2 Int'l Latin (CC,S,R),Latin,20
The Royal Ball,Senior Open Scholarship S Amer. Rhythm (CC,R,SW),Rhythm,25
The Royal Ball,Senior Open Scholarship S Amer. Smooth (W,T,F),Smooth,25
The Royal Ball,Senior Open Scholarship S Int'l Ballroom (W,T,Q),Standard,25
The Royal Ball,Senior Open Scholarship S Int'l Latin (CC,S,R),Latin,25
