Comp Name:Nashville Starz Dance Spectacular
Dancers
["Heat", "723", "05@Saturday 2:48 PM", "International Ballroom Single Dance L-B Closed Int. Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "728", "05@Saturday 2:55 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "729", "05@Saturday 2:56 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "730", "05@Saturday 2:58 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "731", "05@Saturday 2:59 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "732", "05@Saturday 3:01 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "741", "05@Saturday 3:14 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "742", "05@Saturday 3:15 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "743", "05@Saturday 3:17 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "744", "05@Saturday 3:18 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "745", "05@Saturday 3:20 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "751", "05@Saturday 3:28 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "753", "05@Saturday 3:30 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "754", "05@Saturday 3:31 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "755", "05@Saturday 3:33 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "756", "05@Saturday 3:34 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "763", "05@Saturday 3:43 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "764", "05@Saturday 3:44 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "765", "05@Saturday 3:46 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "766", "05@Saturday 3:47 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "767", "05@Saturday 3:49 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "769", "05@Saturday 3:50 PM", "International Ballroom Single Dance L-A2 Closed Full Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "770", "05@Saturday 3:51 PM", "International Ballroom Single Dance L-A2 Closed Full Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "771", "05@Saturday 3:53 PM", "International Ballroom Single Dance L-A2 Closed Full Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "772", "05@Saturday 3:54 PM", "International Ballroom Single Dance L-A2 Closed Full Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "773", "05@Saturday 3:56 PM", "International Ballroom Single Dance L-A2 Closed Full Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "774", "05@Saturday 4:11 PM", "ProAm & MixedAm 4-Dance Closed Silver B Int'l Ballroom (W,T,F,Q)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "775", "05@Saturday 4:17 PM", "ProAm & MixedAm 4-Dance Closed Silver C Int'l Ballroom (W,T,F,Q)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "777", "05@Saturday 4:30 PM", "ProAm WDSS Open Open B Int'l Ballroom (W,T,VW,F,Q)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "778", "05@Saturday 4:37 PM", "ProAm WDSS Open Open C Int'l Ballroom (W,T,VW,F,Q)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "784", "06@Saturday, 7:28 PM", "ProAm Closed Silver Scholarship C Int'l Ballroom (W,T,F,Q)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
Dancer:Ahearn, Alison:276:Heats:1
["Pro heat", "1", "04@Friday 9:05 PM", "Professional Rising Star Amer. Rhythm (CC,R,SW,B,M)", "???", "Ahearn, Alison and Matta, Juan", "---"]
Dancer:Aleman, Caleb:295:Heats:64
["Heat", "125", "01@Thursday 1:15 PM", "American Rhythm Single Dance L-A2 Closed Pre-Silver Amer. Cha Cha", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "126", "01@Thursday 1:16 PM", "American Rhythm Single Dance L-A2 Closed Pre-Silver Amer. Rumba", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "127", "01@Thursday 1:17 PM", "American Rhythm Single Dance L-A2 Closed Pre-Silver Amer. Swing", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "129", "01@Thursday 1:20 PM", "American Rhythm Single Dance L-A2 Closed Pre-Silver Amer. Mambo", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "135", "01@Thursday 1:29 PM", "American Rhythm Single Dance L-A2 Closed Int. Silver Amer. Cha Cha", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "136", "01@Thursday 1:31 PM", "American Rhythm Single Dance L-A2 Closed Int. Silver Amer. Rumba", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "137", "01@Thursday 1:32 PM", "American Rhythm Single Dance L-A2 Closed Int. Silver Amer. Swing", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "139", "01@Thursday 1:35 PM", "American Rhythm Single Dance L-A2 Closed Int. Silver Amer. Mambo", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "165", "01@Thursday 2:13 PM", "American Rhythm Single Dance L-A2 Open Pre-Silver Amer. Cha Cha", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "166", "01@Thursday 2:14 PM", "American Rhythm Single Dance L-A2 Open Pre-Silver Amer. Rumba", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "167", "01@Thursday 2:15 PM", "American Rhythm Single Dance L-A2 Open Pre-Silver Amer. Swing", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "168", "01@Thursday 2:17 PM", "American Rhythm Single Dance L-A2 Open Pre-Silver Amer. Bolero", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
